Robot id	First discovery time	First information time
1	11100	2027
2	0	345
3	0	1840
4	10588	978
5	7657	1149
6	0	1564
7	0	346
8	7630	670
9	7374	1563
10	7488	1013
11	2681	1035
12	7991	1717
13	413	345
14	0	1014
15	20204	1562
16	0	878
17	0	2027
18	0	1839
19	0	1209
20	343	343
21	0	2026
22	7286	1388
23	0	1840
24	15793	1034
25	14860	1274
26	23464	348
27	8847	1015
28	0	1600
29	10203	1652
30	0	1357
31	15931	669
32	0	345
33	21800	1356
34	6800	1014
35	2844	347
36	0	855
37	0	1873
38	10999	890
39	4437	346
40	0	1364
41	8915	1014
42	4029	670
43	6717	347
44	19836	1842
45	10858	1092
46	0	1357
47	0	1840
48	12076	569
49	5054	1840
50	4916	854
